uuid	gene_curie	gene_symbol	disease_curie	disease_title	disease_original_curie	disease_original_title	classification_curie	classification_title	moi_curie	moi_title	submitter_curie	submitter_title	submitted_as_hgnc_id	submitted_as_hgnc_symbol	submitted_as_disease_id	submitted_as_disease_name	submitted_as_moi_id	submitted_as_moi_name	submitted_as_submitter_id	submitted_as_submitter_name	submitted_as_classification_id	submitted_as_classification_name	submitted_as_date	submitted_as_public_report_url	submitted_as_notes	submitted_as_pmids	submitted_as_assertion_criteria_url	submitted_as_submission_id	submitted_run_date
GENCC_000106-HGNC_11034-OMIM_181500-HP_0000005-GENCC_100004	HGNC:11034	SLC4A8	MONDO:0005090	schizophrenia	OMIM:181500	{Schizophrenia}	GENCC:100004	Limited	HP:0000005	Unknown	GENCC:000106	Invitae	HGNC:11034	SLC4A8	OMIM:181500	{Schizophrenia}	HP:0000005	-	GENCC:000106	INVITAE	GENCC:100004	LIMITED	2018-11-14 20:04:33	-	-	23042115	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/12	SLC4A80Schizop	2020-12-04
GENCC_000106-HGNC_11097-OMIM_181500-HP_0000005-GENCC_100004	HGNC:11097	SMARCA1	MONDO:0005090	schizophrenia	OMIM:181500	{Schizophrenia}	GENCC:100004	Limited	HP:0000005	Unknown	GENCC:000106	Invitae	HGNC:11097	SMARCA1	OMIM:181500	{Schizophrenia}	HP:0000005	-	GENCC:000106	INVITAE	GENCC:100004	LIMITED	2018-02-07 20:04:34	-	-	27001614	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/13	SMARCA10Schizop	2020-12-04
GENCC_000106-HGNC_11270-OMIM_137580-HP_0000005-GENCC_100004	HGNC:11270	SPRY2	MONDO:0007661	Tourette syndrome	OMIM:137580	{Gilles de la Tourette syndrome, susceptibility to}	GENCC:100004	Limited	HP:0000005	Unknown	GENCC:000106	Invitae	HGNC:11270	SPRY2	OMIM:137580	Tourette syndrome	HP:0000005	-	GENCC:000106	INVITAE	GENCC:100004	LIMITED	2018-12-01 20:04:34	-	-	28472652	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/17	SPRY20Tourette	2020-12-04
GENCC_000106-HGNC_11498-OMIM_181500-HP_0000005-GENCC_100008	HGNC:11498	SYNGR1	MONDO:0005090	schizophrenia	OMIM:181500	{Schizophrenia}	GENCC:100008	No Known Disease Relationship	HP:0000005	Unknown	GENCC:000106	Invitae	HGNC:11498	SYNGR1	OMIM:181500	{Schizophrenia}	HP:0000005	-	GENCC:000106	INVITAE	GENCC:100008	No Known Disease Relationship	2017-06-20 20:04:35	-	-	17049558, 16215643	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/20	SYNGR10Schizop	2020-12-04
GENCC_000106-HGNC_11542-OMIM_181500-HP_0000005-GENCC_100008	HGNC:11542	TAF9	MONDO:0005090	schizophrenia	OMIM:181500	{Schizophrenia}	GENCC:100008	No Known Disease Relationship	HP:0000005	Unknown	GENCC:000106	Invitae	HGNC:11542	TAF9	OMIM:181500	{Schizophrenia}	HP:0000005	-	GENCC:000106	INVITAE	GENCC:100008	No Known Disease Relationship	2018-07-27 20:04:35	-	-	-	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/21	TAF90Schizop	2020-12-04
GENCC_000106-HGNC_11608-OMIM_181500-HP_0000005-GENCC_100008	HGNC:11608	TBXA2R	MONDO:0005090	schizophrenia	OMIM:181500	{Schizophrenia}	GENCC:100008	No Known Disease Relationship	HP:0000005	Unknown	GENCC:000106	Invitae	HGNC:11608	TBXA2R	OMIM:181500	{Schizophrenia}	HP:0000005	-	GENCC:000106	INVITAE	GENCC:100008	No Known Disease Relationship	2018-04-19 20:04:35	-	-	24463507	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/24	TBXA2R0Schizop	2020-12-04
GENCC_000106-HGNC_11787-OMIM_137580-HP_0000005-GENCC_100008	HGNC:11787	THBS3	MONDO:0007661	Tourette syndrome	OMIM:137580	{Gilles de la Tourette syndrome, susceptibility to}	GENCC:100008	No Known Disease Relationship	HP:0000005	Unknown	GENCC:000106	Invitae	HGNC:11787	THBS3	OMIM:137580	Tourette syndrome	HP:0000005	-	GENCC:000106	INVITAE	GENCC:100008	No Known Disease Relationship	2018-05-16 20:04:35	-	-	28472652	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/28	THBS30Tourette	2020-12-04
GENCC_000106-HGNC_12000-OMIM_137580-HP_0000005-GENCC_100008	HGNC:12000	TP53BP2	MONDO:0007661	Tourette syndrome	OMIM:137580	{Gilles de la Tourette syndrome, susceptibility to}	GENCC:100008	No Known Disease Relationship	HP:0000005	Unknown	GENCC:000106	Invitae	HGNC:12000	TP53BP2	OMIM:137580	Tourette syndrome	HP:0000005	-	GENCC:000106	INVITAE	GENCC:100008	No Known Disease Relationship	2018-05-26 20:04:35	-	-	-	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/32	TP53BP20Tourette	2020-12-04
GENCC_000106-HGNC_12461-OMIM_137580-HP_0000005-GENCC_100008	HGNC:12461	UBAP1	MONDO:0007661	Tourette syndrome	OMIM:137580	{Gilles de la Tourette syndrome, susceptibility to}	GENCC:100008	No Known Disease Relationship	HP:0000005	Unknown	GENCC:000106	Invitae	HGNC:12461	UBAP1	OMIM:137580	Tourette syndrome	HP:0000005	-	GENCC:000106	INVITAE	GENCC:100008	No Known Disease Relationship	2018-07-15 20:04:35	-	-	28472652	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/34	UBAP10Tourette	2020-12-04
GENCC_000106-HGNC_12463-OMIM_119540-HP_0000006-GENCC_100008	HGNC:12463	UBB	MONDO:0007336	isolated cleft palate	OMIM:119540	OMIM:119540	GENCC:100008	No Known Disease Relationship	HP:0000006	Autosomal dominant	GENCC:000106	Invitae	HGNC:12463	UBB	OMIM:119540	Cleft palate, isolated	HP:0000006	-	GENCC:000106	INVITAE	GENCC:100008	No Known Disease Relationship	2017-08-24 20:04:36	-	-	-	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/35	UBB0CleftPal02	2020-12-04
GENCC_000106-HGNC_1249-OMIM_137580-HP_0000005-GENCC_100008	HGNC:1249	TPX2	MONDO:0007661	Tourette syndrome	OMIM:137580	{Gilles de la Tourette syndrome, susceptibility to}	GENCC:100008	No Known Disease Relationship	HP:0000005	Unknown	GENCC:000106	Invitae	HGNC:1249	TPX2	OMIM:137580	Tourette syndrome	HP:0000005	-	GENCC:000106	INVITAE	GENCC:100008	No Known Disease Relationship	2018-01-19 20:04:36	-	-	-	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/36	TPX20Tourette	2020-12-04
GENCC_000106-HGNC_12607-OMIM_137580-HP_0000005-GENCC_100008	HGNC:12607	USP1	MONDO:0007661	Tourette syndrome	OMIM:137580	{Gilles de la Tourette syndrome, susceptibility to}	GENCC:100008	No Known Disease Relationship	HP:0000005	Unknown	GENCC:000106	Invitae	HGNC:12607	USP1	OMIM:137580	Tourette syndrome	HP:0000005	-	GENCC:000106	INVITAE	GENCC:100008	No Known Disease Relationship	2018-11-20 20:04:36	-	-	28472652	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/38	USP10Tourette	2020-12-04
GENCC_000106-HGNC_12635-OMIM_181500-HP_0000005-GENCC_100008	HGNC:12635	UTRN	MONDO:0005090	schizophrenia	OMIM:181500	{Schizophrenia}	GENCC:100008	No Known Disease Relationship	HP:0000005	Unknown	GENCC:000106	Invitae	HGNC:12635	UTRN	OMIM:181500	{Schizophrenia}	HP:0000005	-	GENCC:000106	INVITAE	GENCC:100008	No Known Disease Relationship	2017-05-13 20:04:36	-	-	23163995, 24463507	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/39	UTRN0Schizop	2020-12-04
GENCC_000106-HGNC_12787-OMIM_137580-HP_0000005-GENCC_100008	HGNC:12787	WNT7B	MONDO:0007661	Tourette syndrome	OMIM:137580	{Gilles de la Tourette syndrome, susceptibility to}	GENCC:100008	No Known Disease Relationship	HP:0000005	Unknown	GENCC:000106	Invitae	HGNC:12787	WNT7B	OMIM:137580	Tourette syndrome	HP:0000005	-	GENCC:000106	INVITAE	GENCC:100008	No Known Disease Relationship	2017-10-31 20:04:36	-	-	28472652	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/40	WNT7B0Tourette	2020-12-04
GENCC_000106-HGNC_12892-OMIM_137580-HP_0000005-GENCC_100008	HGNC:12892	ZNF112	MONDO:0007661	Tourette syndrome	OMIM:137580	{Gilles de la Tourette syndrome, susceptibility to}	GENCC:100008	No Known Disease Relationship	HP:0000005	Unknown	GENCC:000106	Invitae	HGNC:12892	ZNF112	OMIM:137580	Tourette syndrome	HP:0000005	-	GENCC:000106	INVITAE	GENCC:100008	No Known Disease Relationship	2018-11-05 20:04:37	-	-	28472652	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/41	ZNF1120Tourette	2020-12-04
GENCC_000106-HGNC_13007-OMIM_130650-HP_0000005-GENCC_100008	HGNC:13007	ZNF215	MONDO:0007534	Beckwith-Wiedemann syndrome	OMIM:130650	Beckwith-Wiedemann syndrome	GENCC:100008	No Known Disease Relationship	HP:0000005	Unknown	GENCC:000106	Invitae	HGNC:13007	ZNF215	OMIM:130650	Beckwith-Wiedemann syndrome	HP:0000005	-	GENCC:000106	INVITAE	GENCC:100008	No Known Disease Relationship	2017-08-03 20:04:37	-	-	10762538	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/43	ZNF2150Beckwith	2020-12-04
GENCC_000106-HGNC_13022-OMIM_181500-HP_0000005-GENCC_100008	HGNC:13022	ZNF229	MONDO:0005090	schizophrenia	OMIM:181500	{Schizophrenia}	GENCC:100008	No Known Disease Relationship	HP:0000005	Unknown	GENCC:000106	Invitae	HGNC:13022	ZNF229	OMIM:181500	{Schizophrenia}	HP:0000005	-	GENCC:000106	INVITAE	GENCC:100008	No Known Disease Relationship	2018-10-17 20:04:37	-	-	23042115	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/44	ZNF2290Schizop	2020-12-04
GENCC_000106-HGNC_13023-OMIM_137580-HP_0000005-GENCC_100008	HGNC:13023	ZNF23	MONDO:0007661	Tourette syndrome	OMIM:137580	{Gilles de la Tourette syndrome, susceptibility to}	GENCC:100008	No Known Disease Relationship	HP:0000005	Unknown	GENCC:000106	Invitae	HGNC:13023	ZNF23	OMIM:137580	Tourette syndrome	HP:0000005	-	GENCC:000106	INVITAE	GENCC:100008	No Known Disease Relationship	2018-03-02 20:04:37	-	-	-	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/45	ZNF230Tourette	2020-12-04
GENCC_000106-HGNC_13102-OMIM_137580-HP_0000005-GENCC_100008	HGNC:13102	ZNF37A	MONDO:0007661	Tourette syndrome	OMIM:137580	{Gilles de la Tourette syndrome, susceptibility to}	GENCC:100008	No Known Disease Relationship	HP:0000005	Unknown	GENCC:000106	Invitae	HGNC:13102	ZNF37A	OMIM:137580	Tourette syndrome	HP:0000005	-	GENCC:000106	INVITAE	GENCC:100008	No Known Disease Relationship	2018-03-09 20:04:37	-	-	-	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/46	ZNF37A0Tourette	2020-12-04
GENCC_000106-HGNC_13247-OMIM_137580-HP_0000005-GENCC_100004	HGNC:13247	FAM120A	MONDO:0007661	Tourette syndrome	OMIM:137580	{Gilles de la Tourette syndrome, susceptibility to}	GENCC:100004	Limited	HP:0000005	Unknown	GENCC:000106	Invitae	HGNC:13247	FAM120A	OMIM:137580	Tourette syndrome	HP:0000005	-	GENCC:000106	INVITAE	GENCC:100004	LIMITED	2018-10-01 20:04:37	-	-	28472652	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/48	FAM120A0Tourette	2020-12-04
GENCC_000106-HGNC_1334-OMIM_181500-HP_0000005-GENCC_100008	HGNC:1334	FAXDC2	MONDO:0005090	schizophrenia	OMIM:181500	{Schizophrenia}	GENCC:100008	No Known Disease Relationship	HP:0000005	Unknown	GENCC:000106	Invitae	HGNC:1334	FAXDC2	OMIM:181500	{Schizophrenia}	HP:0000005	-	GENCC:000106	INVITAE	GENCC:100008	No Known Disease Relationship	2018-01-22 20:04:37	-	-	25420024, 27689744	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/49	FAXDC20Schizop	2020-12-04
GENCC_000106-HGNC_13617-OMIM_137580-HP_0000005-GENCC_100008	HGNC:13617	FBXO15	MONDO:0007661	Tourette syndrome	OMIM:137580	{Gilles de la Tourette syndrome, susceptibility to}	GENCC:100008	No Known Disease Relationship	HP:0000005	Unknown	GENCC:000106	Invitae	HGNC:13617	FBXO15	OMIM:137580	Tourette syndrome	HP:0000005	-	GENCC:000106	INVITAE	GENCC:100008	No Known Disease Relationship	2018-01-15 20:04:37	-	-	28135719, 28472652, 28472652	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/51	FBXO150Tourette	2020-12-04
GENCC_000106-HGNC_13629-OMIM_137580-HP_0000005-GENCC_100004	HGNC:13629	PABPC5	MONDO:0007661	Tourette syndrome	OMIM:137580	{Gilles de la Tourette syndrome, susceptibility to}	GENCC:100004	Limited	HP:0000005	Unknown	GENCC:000106	Invitae	HGNC:13629	PABPC5	OMIM:137580	Tourette syndrome	HP:0000005	-	GENCC:000106	INVITAE	GENCC:100004	LIMITED	2019-07-22 20:04:37	-	-	23894120	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/52	PABPC50Tourette	2020-12-04
GENCC_000106-HGNC_13764-OMIM_181500-HP_0000005-GENCC_100008	HGNC:13764	RELT	MONDO:0005090	schizophrenia	OMIM:181500	{Schizophrenia}	GENCC:100008	No Known Disease Relationship	HP:0000005	Unknown	GENCC:000106	Invitae	HGNC:13764	RELT	OMIM:181500	{Schizophrenia}	HP:0000005	-	GENCC:000106	INVITAE	GENCC:100008	No Known Disease Relationship	2018-05-21 20:04:38	-	-	-	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/54	RELT0Schizop	2020-12-04
GENCC_000106-HGNC_14068-OMIM_137580-HP_0000005-GENCC_100008	HGNC:14068	HDAC5	MONDO:0007661	Tourette syndrome	OMIM:137580	{Gilles de la Tourette syndrome, susceptibility to}	GENCC:100008	No Known Disease Relationship	HP:0000005	Unknown	GENCC:000106	Invitae	HGNC:14068	HDAC5	OMIM:137580	Tourette syndrome	HP:0000005	-	GENCC:000106	INVITAE	GENCC:100008	No Known Disease Relationship	2017-11-14 20:04:38	-	-	28472652	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/56	HDAC50Tourette	2020-12-04
GENCC_000106-HGNC_14184-OMIM_137580-HP_0000005-GENCC_100008	HGNC:14184	UNKL	MONDO:0007661	Tourette syndrome	OMIM:137580	{Gilles de la Tourette syndrome, susceptibility to}	GENCC:100008	No Known Disease Relationship	HP:0000005	Unknown	GENCC:000106	Invitae	HGNC:14184	UNKL	OMIM:137580	Tourette syndrome	HP:0000005	-	GENCC:000106	INVITAE	GENCC:100008	No Known Disease Relationship	2018-03-22 20:04:38	-	-	28472652	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/57	UNKL0Tourette	2020-12-04
GENCC_000106-HGNC_14638-OMIM_181500-HP_0000005-GENCC_100004	HGNC:14638	ABCA13	MONDO:0005090	schizophrenia	OMIM:181500	{Schizophrenia}	GENCC:100004	Limited	HP:0000005	Unknown	GENCC:000106	Invitae	HGNC:14638	ABCA13	OMIM:181500	{Schizophrenia}	HP:0000005	-	GENCC:000106	INVITAE	GENCC:100004	LIMITED	2019-12-31 20:04:38	-	-	29486958, 27712136, 19944402	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/61	ABCA130Schizop	2020-12-04
GENCC_000106-HGNC_14718-OMIM_137580-HP_0000005-GENCC_100008	HGNC:14718	OR9I1	MONDO:0007661	Tourette syndrome	OMIM:137580	{Gilles de la Tourette syndrome, susceptibility to}	GENCC:100008	No Known Disease Relationship	HP:0000005	Unknown	GENCC:000106	Invitae	HGNC:14718	OR9I1	OMIM:137580	Tourette syndrome	HP:0000005	-	GENCC:000106	INVITAE	GENCC:100008	No Known Disease Relationship	2018-05-22 20:04:38	-	-	28472652	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/62	OR9I10Tourette	2020-12-04
GENCC_000106-HGNC_14735-OMIM_137580-HP_0000005-GENCC_100008	HGNC:14735	OR4M1	MONDO:0007661	Tourette syndrome	OMIM:137580	{Gilles de la Tourette syndrome, susceptibility to}	GENCC:100008	No Known Disease Relationship	HP:0000005	Unknown	GENCC:000106	Invitae	HGNC:14735	OR4M1	OMIM:137580	Tourette syndrome	HP:0000005	-	GENCC:000106	INVITAE	GENCC:100008	No Known Disease Relationship	2018-03-13 20:04:38	-	-	28472652	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/63	OR4M10Tourette	2020-12-04
